Part Name,Compatible Models,Price Range,Availability,Type,Keywords
AMOLED Display,"Samsung S24 Ultra, S24, S23 Ultra","$200-300",In Stock,Display,"display issues, screen broken, display not working, touch not working, screen flickering, dead pixels, display replacement"
LCD Display,"iPhone 16 Pro, iPhone 15 Pro","$250-350",In Stock,Display,"display problems, screen crack, touch issues, screen replacement, broken display, display damage"
Battery Pack,"OnePlus 12, OnePlus 12R","$30-50",In Stock,Battery,"battery drain, not charging, quick discharge, battery replacement, poor battery life, battery swollen"
Charging Port,"Google Pixel 9, 9 Pro","$20-40",In Stock,Port,"not charging, loose connection, charging issues, port replacement, slow charging"
Camera Module,"Xiaomi 14 Pro, Redmi K70 Pro","$100-150",In Stock,Camera,"blurry photos, camera not focusing, camera black screen, camera replacement, photo quality issues"
Motherboard,"Samsung Galaxy S24 Ultra","$400-600",Limited Stock,Logic Board,"phone not turning on, system crash, boot loop, motherboard issues, software problems"
Speaker Unit,"iPhone 16 Pro, 16","$40-60",In Stock,Audio,"no sound, speaker not working, audio issues, buzzing sound, speaker replacement"
Power Button,"OnePlus 12, Nothing 2","$15-25",In Stock,Button,"power button stuck, not responding, button issues, power button replacement"
Back Panel,"Samsung S24 Ultra, S24","$50-80",In Stock,Body,"back broken, cover damage, panel replacement, body damage, cracked back"
Front Camera,"Google Pixel 9 Pro, 9","$80-120",In Stock,Camera,"selfie camera issues, front camera not working, blurry selfies, camera replacement"
RAM Module,"Gaming Phones, Flagship Models","$60-100",In Stock,Memory,"slow performance, app crashes, memory issues, lag problems, RAM upgrade"
Storage Chip,"All Android Flagship Models","$100-200",In Stock,Memory,"storage full, slow storage, memory corruption, storage upgrade"
Fingerprint Sensor,"Under Display Models","$40-70",In Stock,Security,"fingerprint not working, sensor issues, authentication problems, biometric failure"
5G Antenna,"Latest Flagship Models","$30-50",In Stock,Network,"poor signal, network issues, 5G not working, connection problems, slow internet"
Cooling System,"Gaming Phones","$40-80",In Stock,Thermal,"overheating, thermal throttling, temperature issues, cooling replacement, heat problems"
